顽固,wángù,stubborn; obstinate
饱经沧桑,bǎojīngcāngsāng,having lived through many changes
任意,rènyì,any; arbitrary; at random; at will
数额,shùé,amount; fixed number; sum of money
副,fù,assistant; auxiliary; classifier for pairs, sets of things & facial expressions; deputy; secondary; vice-
拔苗助长,bámiáozhùzhǎng,to spoil things through excessive enthusiasm (idiom)
司法,sīfǎ,(administration of) justice; judicial
饱和,bǎohé,saturated; filled to capacity
维持,wéichí,to keep; to maintain; to preserve
翼,yì,area surrounding the bullseye of a target; one of the 28 constellations of Chinese astronomy; to assist; wing
翼,Yì,alternative name for 絳|绛[Jiang4] capital of the Jin State during the Spring and Autumn Period (770-475 BC)
攻克,gōngkè,to capture; to overcome; to solve; to take
疲倦,píjuàn,tired; to tire
哦,é,to chant
哦,o,may also indicate that one is stating a fact that the other person is not aware of; sentence-final particle that conveys informality, warmth, friendliness or intimacy
哦,ó,oh (interjection indicating doubt or surprise)
哦,ò,oh (interjection indicating that one has just learned sth)
倒闭,dǎobì,to close down; to go bankrupt
封建,fēngjiàn,feudal; feudalism; feudalistic; system of enfeoffment
刹那,chànà,an instant (Sanskrit: ksana); split second; the twinkling of an eye
捧,pěng,to clasp; to cup the hands; to flatter; to hold up with both hands; to offer (esp. in cupped hands); to praise
典礼,diǎnlǐ,celebration; ceremony
储备,chǔbèi,reserves; to store up
勤俭,qínjiǎn,hardworking and frugal
消除,xiāochú,to eliminate; to remove
留念,liúniàn,to keep as a souvenir; to recall fondly
致辞,zhìcí,same as 致詞|致词; to address (an audience); to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc)
便条,biàntiáo,(informal) note
搏斗,bódòu,to wrestle; to fight; to struggle
生育,shēngyù,fertility; to bear; to bring up (children); to give birth; to grow; to rear
无知,wúzhī,ignorance; ignorant
凄凉,qīliáng,desolate (place)
凄凉,qīliáng,miserable; mournful
指令,zhǐlìng,command; instruction; order
不妨,bùfáng,might as well; there is no harm in
航行,hángxíng,to fly; to navigate; to sail
染,rǎn,to acquire (bad habits etc); to add color washes to a painting; to catch (a disease); to contaminate; to dye
关怀,guānhuái,attentive to; care; concerned about; solicitude; to show care for
理智,lǐzhì,intellect; rational; rationality; reason
挨,ái,to delay; to stall; to play for time; to dawdle; to pull through (hard times); to suffer; to endure
挨,āi,close to; adjacent to; in order; in sequence
记载,jìzǎi,to record; to write down; written account
预算,yùsuàn,budget
切实,qièshí,conscientiously; earnestly; feasible; practical; realistic
利害,lìhài,advantages and disadvantages; gains and losses; pros and cons
利害,lìhai,capable; devastating; fierce; formidable; serious; severe; sharp; terrible; tough
咋,zǎ,dialectal equivalent of 怎麼|怎么[zen3 me5]
咋,zé,gnaw
咋,zhà,loud noise; shout; suddenly
冰雹,bīngbáo,hail; hailstone
搅拌,jiǎobàn,to agitate; to stir
清晰,qīngxī,clear; distinct
陷入,xiànrù,to get caught up in; to land in (a predicament); to sink into
况且,kuàngqiě,besides; furthermore; in addition; moreover
抢救,qiǎngjiù,to rescue
密封,mìfēng,to seal up
美观,měiguān,artistic; beautiful; pleasing to the eye
财务,cáiwù,financial affairs
跟随,gēnsuí,to follow
当事人,dāngshìrén,persons involved or implicated; party (to an affair)
难得,nándé,hard to come by; rare; seldom
掀起,xiānqǐ,(fig.) to trigger; set off (a wave of popularity, a controversy etc); (of a storm) to surge; to stir up (waves etc); to lift; to raise (a lid etc)
气色,qìsè,complexion
仓库,cāngkù,depot; storehouse; warehouse
租赁,zūlìn,to rent; to lease; to hire
排练,páiliàn,rehearsal; to rehearse
格局,géjú,layout; pattern; structure
素食,sùshí,to eat a vegetarian diet; vegetarian food
洽谈,qiàtán,to discuss
奢侈,shēchǐ,extravagant; luxurious
畅通,chàngtōng,free-flowing; move without obstruction; straight path; unclogged; unimpeded
歌颂,gēsòng,to eulogize; to extol; to sing the praises of
表彰,biǎozhāng,to cite (in dispatches); to commend; to honor
鸦雀无声,yāquèwúshēng,absolute silence; absolute silence (idiom); not a single voice can be heard; lit. crow and peacock make no sound
难堪,nánkān,embarrassed; hard to take
师范,shīfàn,normal (school, e.g. Beijing Normal University); pedagogical; teacher-training
航天,hángtiān,space flight
诈骗,zhàpiàn,to blackmail; to defraud; to swindle
模型,móxíng,matrix; model; mold; pattern
违背,wéibèi,to be contrary to; to go against; to violate
屈服,qūfú,(as a transitive verb) to defeat; to prevail over; to succumb; to surrender; to yield
溪,xī,creek; rivulet
试验,shìyàn,experiment; experimental; test; to experiment
发布,fābù,to announce; to distribute; to issue; to release
发布,fābù,to announce; to distribute; to issue; to release
群众,qúnzhòng,mass; multitude; the masses
懒惰,lǎnduò,idle; lazy
精心,jīngxīn,detailed; fine; meticulous; with utmost care
秤,chèng,Roman balance; steelyard
实行,shíxíng,to carry out; to implement; to put into practice
化石,huàshí,fossil
毫米,háomǐ,millimeter
殴打,ōudǎ,battery (law); to beat up; to come to blows
扩充,kuòchōng,to expand
拘束,jūshù,awkward; constrained; ill at ease; reticent; to restrain; to restrict; uncomfortable
尴尬,gāngà,awkward; embarrassed
不免,bùmiǎn,inevitably
导航,dǎoháng,navigation
别扭,bièniu,at loggerheads; awkward; difficult; gauche; not agreeing; uncomfortable
循环,xúnhuán,circle; loop; to circulate; to cycle
打官司,dǎguānsi,to dispute; to file a lawsuit; to sue
历代,lìdài,past dynasties; successive dynasties; successive generations
时常,shícháng,frequently; often
救济,jiùjì,emergency relief; to help the needy with cash or goods
蔓延,mànyán,to extend; to spread
频繁,pínfán,frequently; often
犬,quǎn,dog
爱戴,àidài,love and respect; to love and respect
嫂子,sǎozi,(coll.) older brother's wife; sister-in-law
磁带,cídài,magnetic tape
向导,xiàngdǎo,guide
侄子,zhízi,brother's son; nephew
诉讼,sùsòng,lawsuit
恰到好处,qiàdàohǎochù,it's just perfect; it's just right
相应,xiāngyìng,(modify) accordingly; answering (one another); appropriate; corresponding; relevant; to agree (among the part); to correspond
矿产,kuàngchǎn,minerals
支柱,zhīzhù,backbone; mainstay; pillar; prop
报复,bàofù,revenge; retaliation; to make reprisals; to retaliate
适宜,shìyí,appropriate; suitable
双胞胎,shuāngbāotāi,twin
过奖,guòjiǎng,to flatter; to overpraise
公证,gōngzhèng,acknowledgement; notarization; notarized
触犯,chùfàn,to offend; to violate
片刻,piànkè,a moment; short period of time
兴高采烈,xìnggāocǎiliè,happy and excited (idiom); in great delight; in high spirits
嫉妒,jídù,to be jealous of; to envy
响亮,xiǎngliàng,loud and clear; resounding
宣扬,xuānyáng,to publicize; to advertise; to spread far and wide
设置,shèzhì,to set up; to install
紧迫,jǐnpò,pressing; urgent
要素,yàosù,essential factor; key constituent
亭子,tíngzi,pavilion
辩证,biànzhèng,dialectical; to investigate
闪烁,shǎnshuò,evasive; flickering; twinkling; vague (of speech)
寓言,yùyán,fable
凹凸,āotū,bumps and holes; concave or convex; rugged; uneven (surface)
补偿,bǔcháng,to compensate; to make up
微不足道,wēibùzúdào,negligible; insignificant
地质,dìzhì,geology
亏待,kuīdài,to treat sb unfairly
变故,biàngù,accident; an unforeseen event; misfortune
严禁,yánjìn,to strictly prohibit
重叠,chóngdié,an overlap; one over another; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll); superposition; to duplicate; to overlap; to run together; to superimpose; to telescope
鉴别,jiànbié,to differentiate; to distinguish
视野,shìyě,(fig.) outlook; field of view; perspective
钞票,chāopiào,a bill (e.g. 100 yuan); paper money
嗅觉,xiùjué,sense of smell
不得已,bùdéyǐ,must; to act against one's will; to have no alternative but to; to have no choice; to have to
解散,jiěsàn,to disband; to dissolve
采纳,cǎinà,to accept; to adopt
激励,jīlì,incentive; motivation; to encourage; to urge
附和,fùhè,to agree; to echo (what sb says); to go along with
盯,dīng,to fix one's attention on; to gaze at; to stare at; to watch attentively
借助,jièzhù,to draw support from; with the help of
混浊,hùnzhuó,dirty; muddy; turbid
范畴,fànchóu,category
哺乳,bǔrǔ,breastfeeding; to nurse; to suckle
失踪,shīzōng,to be missing; to disappear; unaccounted for
防止,fángzhǐ,to guard against; to prevent; to take precautions
陷害,xiànhài,to entrap; to frame (up); to make false charges against; to set up
热泪盈眶,rèlèiyíngkuàng,extremely moved; eyes brimming with tears of excitement (idiom)
对联,duìlián,pair of lines of verse written vertically down the sides of a doorway; rhyming couplet
诚挚,chéngzhì,cordial; sincere
试图,shìtú,to attempt; to try
并非,bìngfēi,really isn't
谣言,yáoyán,rumor
指甲,zhǐjia,fingernail
讥笑,jīxiào,to sneer
啦,lā,(dialect) to chat; (onom.) sound of singing, cheering etc; (phonetic)
啦,la,particle placed after each item in a list of examples; sentence-final particle, contraction of 了啊, indicating exclamation
导弹,dǎodàn,(guided) missile
奖赏,jiǎngshǎng,reward; prize; award
枚,méi,classifier for coins, rings, badges, pearls, sporting medals, rockets, satellites etc; tree trunk; whip; wooden peg, used as a gag for marching soldiers (old)
呵,hē,expel breath; my goodness
迫害,pòhài,to persecute
盗窃,dàoqiè,to steal
雇佣,gùyōng,to employ; to hire
传记,zhuànjì,biography
窝,wō,classifier for litters and broods; den; lair; nest; pit or hollow on the human body; place; to bend; to harbor or shelter; to hold in check
考核,kǎohé,appraisal; evaluation; review; to assess; to check up on; to examine; to review
脉搏,màibó,pulse (both medical and figurative)
节制,jiézhì,moderation; sobriety; to administer; to control; to moderate; to restrict; to temper
处境,chǔjìng,situation (of a person)
及早,jízǎo,at the earliest possible time; as soon as possible
生存,shēngcún,to exist; to survive
参谋,cānmóu,staff officer; to give advice
揍,zòu,(coll.) to smash (sth); to hit; to beat (sb)
冲动,chōngdòng,impulse; to be impetuous; to have an urge; urge
伴侣,bànlü,companion; mate; partner
间隔,jiàngé,compartment; gap; interval; to divide; to leave a gap of (two weeks, three meters etc); to separate
见闻,jiànwén,knowledge; one's experience; what one has seen and heard
执着,zhízhuó,(Buddhism) attachment; to be dedicated; to be strongly attached to; to cling to
挺拔,tǐngbá,tall and straight
随即,suíjí,following which; immediately; presently
当面,dāngmiàn,in sb's presence; to sb's face
得不偿失,débùchángshī,the gains do not make up for the losses (idiom)
起伏,qǐfú,to move up and down; to undulate; ups and downs
桨,jiǎng,oar; paddle
庄严,zhuāngyán,solemn; dignified; stately
公道,gōngdào,fairness; justice; public highway
公道,gōngdao,equitable; fair
屑,xiè,bits; crumbs; filings; fragments; to condescend to; trifling; trivial
峡谷,xiágǔ,canyon; gill; ravine
继承,jìchéng,to carry on (a tradition etc); to inherit; to succeed to (the throne etc)
任重道远,rènzhòngdàoyuǎn,a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)
床单,chuángdān,bed sheet
萌芽,méngyá,bud; germ; seed; to bud; to germinate; to sprout (lit. or fig.)
制止,zhìzhǐ,to check; to curb; to limit; to put a stop to; to stop
逢,féng,(of a calendar event) to come along; (of an event) to fall on (a particular day); to come across; to fawn upon; to meet by chance
竭尽全力,jiéjìnquánlì,to spare no effort (idiom); to do one's utmost
拜托,bàituō,please!; to request sb to do sth
可观,kěguān,considerable; impressive; significant
混合,hùnhé,composite; hybrid; to blend; to mix
暴力,bàolì,force; violence; violent
风暴,fēngbào,fig. crisis (e.g. revolution, uprising, financial crisis etc); storm; violent commotion
倾斜,qīngxié,to incline; to lean; to slant; to slope; to tilt
目睹,mùdǔ,to see at first hand; to see with one's own eyes; to witness
瘸,qué,lame
案例,ànlì,case (of fraud, hepatitis, international cooperation etc); instance; example
扩散,kuòsàn,to spread; to proliferate; to diffuse
举动,jǔdòng,act; action; activity; move; movement
摧残,cuīcán,to ravage; to ruin
安置,ānzhì,placement; to arrange for; to find a place for; to get into bed; to help settle down
气压,qìyā,atmospheric pressure; barometric pressure
职能,zhínéng,function; role
事业,shìyè,(charitable, political or revolutionary) cause; activity; career; occupation; project; publicly funded institution, enterprise or foundation; undertaking
源泉,yuánquán,fig. origin; fountainhead; water source; well-spring
荣幸,róngxìng,honored (to have the privilege of ...)
实事求是,shíshìqiúshì,fig. to be practical and realistic; lit. to seek truth from facts (idiom)
飞跃,fēiyuè,to leap
监督,jiāndū,to control; to inspect; to supervise
岩石,yánshí,rock
公然,gōngrán,openly; publicly; undisguised
阵容,zhènróng,battle formation; lineup (of a sports team etc); troop arrangement
盛,shèng,extensively; flourishing; magnificent; vigorous
盛,chéng,to contain; to hold; to ladle; to pick up with a utensil
摇滚,yáogǔn,rock 'n' roll (music); to fall off; to rock
辅助,fǔzhù,supplementary; auxiliary; to assist; to aid
削弱,xuēruò,to cripple; to impair; to weaken
曲折,qūzhé,(fig.) complicated; winding
迁徙,qiānxǐ,to migrate; to move
诬陷,wūxiàn,to entrap; to frame; to plant false evidence against sb
膜,mó,film; membrane
出卖,chūmài,to offer for sale; to sell; to sell out; to betray
可行,kěxíng,feasible
将近,jiāngjìn,almost; close to; nearly
庄重,zhuāngzhòng,dignified; grave; solemn
随意,suíyì,according to one's wishes; as one wishes; at will; conscious; voluntary
赠送,zèngsòng,to present as a gift
无穷无尽,wúqióngwújìn,boundless; endless; infinite
断绝,duànjué,to sever; to break off
照耀,zhàoyào,to illuminate; to shine
茫然,mángrán,at a loss; blankly; vacantly
基因,jīyīn,gene (loanword)
压制,yāzhì,to inhibit; to stifle; to suppress
斑,bān,colored patch; spot; spotted; stripe; striped; variegated
走私,zǒusī,to have an illicit affair; to smuggle
分量,fēnliàng,(vector) component
分量,fènliang,measure; quantity; weight
分歧,fēnqí,(math.) bifurcation; difference (of opinion, position); disagreement; divergent
趴,pā,(Tw) percent; to lean forward, resting one's upper body (on a desktop etc); to lie on one's stomach
淋,lín,to drench; to drip; to pour; to sprinkle
淋,lìn,(TCM) strangury; gonorrhea; to drain; to filter; to strain
认可,rènkě,OK; acknowledgment; approval; to approve
值班,zhíbān,on duty; to work a shift
泼,pō,brutish; rough and coarse; to spill; to splash
反思,fǎnsī,reassessment; reflection; to rethink; to review; to revisit; to think back over sth
通用,tōngyòng,(of two or more things) interchangeable; to be used by everyone (language, textbook etc); to use anywhere, anytime (card, ticket etc)
草案,cǎoàn,draft (legislation, proposal etc)
以往,yǐwǎng,formerly; in the past
着想,zhuóxiǎng,also pr. [zhao2 xiang3]; to consider (other people's needs); to give thought (to others)
鞠躬,jūgōng,(literary) to bend down; to bow
活力,huólì,energy; vigor; vital force; vitality
冤枉,yuānwang,injustice; not worthwhile; to accuse wrongly; to treat unjustly; wronged
收藏,shōucáng,a collection; to collect (works of art, dolls, antiques etc); to put away for safekeeping; (Internet) to bookmark
统计,tǒngjì,statistics; to add up; to count
除,chú,except; not including; to divide; to eliminate; to exclude; to get rid of; to remove; to wipe out
骨干,gǔgàn,diaphysis (long segment of a bone); fig. backbone
可恶,kěwù,abominable; hateful; repulsive; vile
司令,sīlìng,commanding officer
高明,Gāomíng,Gaoming District of Foshan City 佛山市[Fo2 shan1 Shi4], Guangdong
高明,gāomíng,brilliant; superior; wise
沉重,chénzhòng,critical; hard; heavy; serious
国务院,Guówùyuàn,State Council (PRC); State Department (USA)
君子,jūnzǐ,nobleman; person of noble character
批发,pīfā,bulk trade; distribution; wholesale
淹没,yānmò,to drown; to drown out (also fig.); to flood; to submerge
对策,duìcè,countermeasure for dealing with a situation
爆发,bàofā,to break out; to burst out; to erupt; to explode
飘扬,piāoyáng,to flutter; to fly; to wave
野蛮,yěmán,barbarous; uncivilized
旗袍,qípáo,Chinese-style dress; cheongsam
潜力,qiánlì,capacity; potential
任命,rènmìng,(job) appointment; to appoint
富裕,Fùyù,Fuyu county in Qiqihar 齊齊哈爾|齐齐哈尔[Qi2 qi2 ha1 er3], Heilongjiang
富裕,fùyù,prosperous; well-off; well-to-do
被动,bèidòng,passive
大意,dàyì,general idea; main idea
大意,dàyi,careless
力求,lìqiú,striving to do one's best; to make every effort to
媒介,méijiè,intermediary; media; medium; vector; vehicle
撤销,chèxiāo,(computing) to undo; to repeal; to revoke
舌头,shétou,enemy soldier captured for the purpose of extracting information; tongue
弱点,ruòdiǎn,failing; weak point
序言,xùyán,introductory remarks; preamble; preface; prelude
罢工,bàgōng,a strike; to go on strike
出神,chūshén,entranced; lost in thought; spellbound
之际,zhījì,at the time of; during
吞吞吐吐,tūntūntǔtǔ,to hold sth back; to hum and haw (idiom); to mumble as if hiding sth; to speak and break off, then start again
偏僻,piānpì,desolate; far from the city; remote
内幕,nèimù,behind the scenes; inside story; internal; non-public information
小心翼翼,xiǎoxīnyìyì,cautious and solemn (idiom); very carefully; gently and cautiously; prudent
挥霍,huīhuò,agile; extravagant; free and easy; prodigal; to squander money
光辉,guānghuī,brilliant; glory; magnificent; radiance
创新,chuàngxīn,innovation; to bring forth new ideas; to blaze new trails
人道,réndào,human sympathy; humane; humanitarianism; sexual intercourse; the "human way", one of the stages in the cycle of reincarnation (Buddhism)
筐,kuāng,basket
共鸣,gòngmíng,(physics) to resonate; resonance; sympathetic response
当场,dāngchǎng,at the scene; on the spot
草率,cǎoshuài,careless; negligent; not serious; sloppy
意味着,yìwèizhe,to imply; to mean; to signify
提拔,tíbá,to promote to a higher job; to select for promotion
动态,dòngtài,development; dynamic (science); motion; movement; trend
薄弱,bóruò,weak; frail
敌视,díshì,antagonism; hostile; malevolence; to stand against; to view as enemy
靠拢,kàolǒng,to draw close to
事迹,shìjì,deed; important event of the past; past achievement
剪彩,jiǎncǎi,to cut the ribbon (at a launching or opening ceremony)
探望,tànwàng,to call on sb; to look around; to visit
提示,tíshì,notice; reminder; suggestion; tip; to point out; to remind (sb of sth); to suggest
兴致勃勃,xìngzhìbóbó,full of zest; to become exhilarated (idiom); in high spirits
排除,páichú,to eliminate; to exclude; to remove; to rule out
装备,zhuāngbèi,equipment; to equip; to outfit
吹牛,chuīniú,to chat (dialect); to shoot off one's mouth; to talk big
对付,duìfu,to get by with; to make do; to handle; to deal with; to tackle
谜语,míyǔ,conundrum; riddle
火焰,huǒyàn,blaze; flame
威力,wēilì,formidable power; might
意料,yìliào,expectations; to anticipate; to expect
当前,dāngqián,the present time; to be faced with
搁,gē,to place; to put aside; to shelve
搁,gé,to bear; to endure; to stand
元首,yuánshǒu,head of state
思索,sīsuǒ,to ponder; to think deeply
缺口,quēkǒu,gap; jag; nick; shortfall
传单,chuándān,leaflet; flier; pamphlet
折,zhē,to tip sth out (of a container); to turn sth over; to turn upside down
折,shé,(bound form) to sustain a loss (in business); to break (a stick, a bone etc); to snap
折,zhé,accounts book; classifier for theatrical scenes; convinced; discount; rebate; tenth (in price); to bend; to break; to change direction; to convert into (currency); to fold; to fracture; to snap; to suffer loss; to turn; to twist
折,zhé,to fold
支撑,zhīchēng,brace; strut; to prop up; to support
一举两得,yījǔliǎngdé,one move, two gains (idiom); two birds with one stone
口气,kǒuqì,manner of expression; the way one speaks; tone; tone of voice
封闭,fēngbì,closed (i.e. isolated from outside input); to close down (an illegal venue); to close; to seal off
储蓄,chǔxù,savings; to deposit money; to save
坚实,jiānshí,firm and substantial; solid
衰老,shuāilǎo,old and weak; to age; to deteriorate with age
感慨,gǎnkǎi,deeply moved; rueful; to sigh with sorrow, regret etc
压岁钱,yāsuìqián,money given to children as a gift on Chinese New Year's Eve
守护,shǒuhù,to guard; to protect
消防,xiāofáng,fire control; firefighting
团结,tuánjié,solidarity; to unite; united; unity
歧视,qíshì,discrimination; to discriminate against
响应,xiǎngyìng,answer; to respond to
昼夜,zhòuyè,continuously, without stop; day and night; period of 24 hours
精益求精,jīngyìqiújīng,to perfect sth that is already outstanding (idiom); constantly improving
走廊,zǒuláng,aisle; corridor; hallway; passageway; veranda
图案,túàn,design; pattern
上进,shàngjìn,fig. ambitious to improve oneself; to do better; to make progress; to move forwards
推翻,tuīfān,to overthrow
倡导,chàngdǎo,to advocate; to be a proponent of (an idea or school of thought); to initiate; to propose
命名,mìngmíng,named after; naming; to christen; to designate; to dub; to give a name to
把手,bǎshǒu,to shake hands
把手,bǎshou,grip; handle; knob
模式,móshì,method; mode; pattern
临床,línchuáng,clinical
专利,zhuānlì,monopoly; patent; sth uniquely enjoyed (or possessed etc) by a certain group of people
磕,kē,to knock (against sth hard); to knock (mud from boots, ashes from a pipe etc); to tap
人士,rénshì,figure; person; public figure
乡镇,xiāngzhèn,township; village
疏忽,shūhu,carelessness; negligence; to neglect; to overlook
迁就,qiānjiù,to accommodate to (sth); to adapt to; to yield
频率,pínlü,frequency
回报,huíbào,(in) return; payback; reciprocation; retaliation; to reciprocate; to report back
和解,héjiě,conciliation; settlement; to become reconciled; to reconcile; to settle (a dispute out of court)
经费,jīngfèi,expenditure; funds
归根到底,guīgēndàodǐ,after all; in the final analysis; ultimately
人为,rénwéi,artificial; having human cause or origin; human attempt or effort; man-made
陶瓷,táocí,ceramics; pottery and porcelain
选手,xuǎnshǒu,athlete; contestant
过问,guòwèn,to get involved with; to show an interest in
加剧,jiājù,to intensify
铸造,zhùzào,to cast (pour metal into a mold)
症状,zhèngzhuàng,symptom (of an illness)
汇报,huìbào,report; to give an account of; to report
汇报,huìbào,to collect information and report back; to give an account of; to report
论坛,lùntán,forum (for discussion)
丙,bǐng,ancient Chinese compass point: 165°; letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc; propyl; third in order; third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]
不止,bùzhǐ,incessantly; more than; not limited to; without end
时机,shíjī,opportunity; opportune moment
炎热,yánrè,blistering hot; sizzling hot (weather)
雕塑,diāosù,a Buddhist image; a statue; sculpture; to carve
荒唐,huāngtáng,absurd; beyond belief; dissipated; intemperate; preposterous
塌,tā,to collapse; to droop; to settle down
期限,qīxiàn,allotted time; deadline; time limit
赤道,chìdào,celestial equator; equator (of the earth or a celestial body)
压抑,yāyì,depressing; oppressive; repression; stifling; to constrain or repress emotions
场合,chǎnghé,context; location; occasion; setting; situation; venue
操作,cāozuò,to manipulate; to operate; to work
边缘,biānyuán,edge; fringe; verge; brink; periphery; marginal; borderline
报警,bàojǐng,to report sth to the police; to sound an alarm
解剖,jiěpōu,anatomy; to analyze; to dissect (an animal)
可口,kěkǒu,tasty; to taste good
传授,chuánshòu,to impart; to pass on; to teach
承包,chéngbāo,to contract; to undertake (a job)
战斗,zhàndòu,battle; struggle; to engage in combat; to fight
美妙,měimiào,beautiful; splendid; wonderful
体积,tǐjī,bulk; volume
免疫,miǎnyì,immunity (to disease)
健全,jiànquán,robust; sound
恶化,èhuà,to worsen
层次,céngcì,(a person's) standing; arrangement of ideas; gradation; layer; level
依托,yītuō,support; to depend on; to rely on
固执,gùzhí,obstinate; stubborn; to cling to; to fixate on
仍旧,réngjiù,still (remaining); to remain (the same); yet
合算,hésuàn,to be a bargain; to be a good deal; to calculate; to reckon up; worthwhile
精确,jīngquè,accurate; precise
年度,niándù,annual; year (e.g. school year, fiscal year)
荒谬,huāngmiù,absurd; ridiculous
强制,qiángzhì,forced; compulsory; to force; to compel; to coerce
羞耻,xiūchǐ,(a feeling of) shame
迄今为止,qìjīnwéizhǐ,so far; still (not); up to now
镶嵌,xiāngqiàn,tesselation; tiling; to embed; to inlay; to set (e.g. a jewel in a ring)
冒充,màochōng,to feign; to pass oneself off as; to pretend to be
干预,gānyù,intervention; to intervene; to meddle
关照,guānzhào,to keep an eye on; to look after; to remind; to take care; to tell
充当,chōngdāng,to act as; to play the role of; to serve as
标记,biāojì,(computing) token; mark; sign; symbol; to mark up
一目了然,yīmùliǎorán,obvious at a glance (idiom)
一目了然,yīmùliǎorán,obvious at a glance (idiom)
高尚,gāoshàng,exquisite; lofty; noble; refined
啃,kěn,to bite; to gnaw; to nibble
贝壳,bèiké,also pr. [bei4 qiao4]; conch; cowry; hard outer skin; mother of pearl; shell
转让,zhuǎnràng,to transfer (ownership, rights etc)
客户,kèhù,client; customer
波涛,bōtāo,billows; great waves
战术,zhànshù,tactics
会晤,huìwù,conference; meeting; to meet
和谐,héxié,(euphemism) to censor; harmonious; harmony
奉献,fèngxiàn,to consecrate; to dedicate; to devote; to offer respectfully
火箭,huǒjiàn,rocket
偏见,piānjiàn,bias; prejudice
一贯,yīguàn,all along; consistent; constant; from start to finish; persistent
乞丐,qǐgài,beggar
规划,guīhuà,a plan; a program; to draw up a plan; to map out a program
档次,dàngcì,class; grade; level; quality
扛,káng,(fig.) to take on (a burden, duty etc); to carry on one's shoulder
扛,gāng,(of two or more people) to carry sth together; to raise aloft with both hands
熬,áo,to cook on a slow fire; to decoct; to endure; to extract by heating
熬,āo,to boil; to simmer
时事,shíshì,current trends; the present situation; how things are going
省会,shěnghuì,provincial capital
解除,jiěchú,to free; to get rid of; to lift (an embargo); to relieve (sb of their duties); to remove; to rescind (an agreement); to sack
亦,yì,also
声誉,shēngyù,fame; reputation
陈列,chénliè,to display; to exhibit
蹬,dēng,(slang) to dump (sb); to step on; to tread on; to wear (shoes)
挽救,wǎnjiù,to remedy; to rescue; to save
齐心协力,qíxīnxiélì,to pull together; to work as one; to work with a common purpose (idiom); to make concerted efforts
欲望,yùwàng,desire; longing; appetite; craving
伤脑筋,shāngnǎojīn,to be a real headache; to beat one's brains; to find sth a real headache
愈,yù,better; the more...(the more...); to heal; to recover
愈,yù,to heal
沮丧,jǔsàng,dejected; dismayed; dispirited
军队,jūnduì,armed forces; troops
采购,cǎigòu,to procure (for an enterprise etc); to purchase
刻不容缓,kèbùrónghuǎn,to brook no delay; to demand immediate action
杂技,zájì,acrobatics
信念,xìnniàn,belief; conviction; faith
轨道,guǐdào,(audio engineering) track; (fig.) a person's established path in life; (quantum mechanics) orbital; desired trajectory (of a business or other endeavor); orbit (of a satellite); track (for trains etc)
证实,zhèngshí,to confirm (sth to be true); to verify
拘留,jūliú,to detain (a prisoner); to keep sb in custody
夕阳,xīyáng,sunset; the setting sun
姑且,gūqiě,for the time being; tentatively
治理,zhìlǐ,governance; to administer; to control; to govern; to manage
前景,qiánjǐng,(future) prospects; foreground; perspective; vista
调动,diàodòng,movement of personnel; to bring into play; to maneuver (troops etc); to mobilize; to transfer
渠道,qúdào,(fig.) channel; irrigation ditch; means
隧道,suìdào,tunnel
跪,guì,to kneel
跟踪,gēnzōng,to follow sb's tracks; to shadow; to tail; tracking
服气,fúqì,to accept; to be convinced
雷达,léidá,radar (loanword)
口头,kǒutóu,oral; verbal
妥当,tuǒdang,appropriate; proper; ready
未免,wèimiǎn,can't help; rather; really; unavoidably
真挚,zhēnzhì,sincere; sincerity
尖端,jiānduān,highest peak; most advanced and sophisticated; sharp pointed end; the best; the cusp; the tip; tip-top
途径,tújìng,way; means; channel
酝酿,yùnniàng,(of a crisis) to be brewing; (of alcohol) to ferment; to hold exploratory discussions; to mull over (an issue)
私自,sīzì,private; personal; secretly; without explicit approval
科目,kēmù,academic subject; field of study
本事,běnshi,ability; skill
本事,běnshì,original story; source material
朴实,pǔshí,down-to-earth; guileless; plain; simple; sincere and honest
防治,fángzhì,prevention and cure; to prevent and cure
期望,qīwàng,expectation; hope; to earnestly hope; to have expectations
占领,zhànlǐng,to capture; to seize; to occupy by force
发誓,fāshì,to pledge; to swear; to vow
艰难,jiānnán,challenging; difficult; hard
神态,shéntài,appearance; bearing; deportment; expression; look; manner; mien
来历,láilì,antecedents; history; origin
模样,múyàng,about; also pr. [mo2 yang4]; appearance; approximation; look; style
腹泻,fùxiè,diarrhea; to have the runs
孤立,gūlì,isolated; to isolate
忠诚,zhōngchéng,devoted; fidelity; loyal; loyalty
呼唤,hūhuàn,to call out (a name etc); to shout
公正,gōngzhèng,just; fair; equitable
并列,bìngliè,to be juxtaposed; to stand side by side
认定,rèndìng,determination (of an amount); of the firm opinion; to believe firmly; to determine (a fact); to identify with; to maintain (that sth is true); to set one's mind on
部位,bùwèi,part (esp. of the body, but also of a vegetable (e.g. the root), or a garment (e.g. the sleeve) etc)
喉咙,hóulóng,the throat
宁愿,nìngyuàn,would rather ... (than ...)
